,股票代號,公司名稱,上市日期,股價,SMA 10,SMA 50,SMA 100,SMA 250,RSI 10,RSI 14,RSI 20,MACD 8/17,MACD 12/25,成交量
0,01215.HK,開源控股,1997/01/17,0.05,0.046,0.044,0.043,0.042,63.965,60.821,58.176,0.001,0.001,8.00萬
0,01216.HK,中原銀行,2017/07/19,1.16,1.175,1.202,1.194,1.379,42.043,43.415,45.059,-0.01,-0.012,27.90萬
0,01217.HK,中國創新投,-,-,-,-,-,-,-,-,-,-,-,0.00
0,01218.HK,永義國際,1995/01/30,2.8,2.67,3.38,3.808,4.362,47.56,42.669,40.109,-0.133,-0.212,8.00千
0,01219.HK,天喔國際,2013/09/17,380.0,0.378,0.473,0.787,1.32,35.456,33.361,31.672,-0.016,-0.03,0.00
0,01220.HK,志道國際,1997/09/23,82.0,0.087,0.099,0.116,0.346,34.176,35.995,37.254,-0.003,-0.004,0.00
0,01221.HK,信和酒店,1995/03/08,510.0,2.474,2.672,2.808,3.145,47.422,44.174,41.522,-0.017,-0.044,0.00
0,01222.HK,WANG ,1995/02/28,0.071,0.07,0.074,0.072,0.082,47.544,46.917,47.379,-0.001,-0.001,40.36萬
0,01223.HK,新灃集團,1995/03/01,0.91,0.931,0.926,0.903,0.909,36.889,42.144,45.852,-0.004,-0.002,1.75百萬
0,01224.HK,中渝置地,1999/04/30,750.0,1.767,1.775,1.784,1.783,46.508,46.76,47.164,-0.005,-0.006,6.50萬
0,01225.HK,隆成金融,1998/12/18,127.0,0.136,0.132,0.159,0.219,34.748,39.588,42.4,-0.004,-0.002,0.00
0,01226.HK,中國投融資,2002/09/19,35.0,0.038,0.039,0.042,0.05,39.115,41.337,43.444,-0.002,-0.001,0.00
0,01227.HK,國盛投資,-,-,-,-,-,-,-,-,-,-,-,0.00
0,01229.HK,南南資源,1995/04/13,0.147,0.152,0.141,0.153,0.203,47.033,48.159,49.191,-0.004,-0.001,16.20萬
0,01230.HK,雅士利國際,2010/11/01,0.54,0.499,0.47,0.543,0.769,78.929,73.895,66.652,0.022,0.018,2.58百萬
0,01231.HK,新礦資源,2011/07/04,900.0,0.912,0.773,0.787,0.818,60.616,59.409,57.412,0.051,0.039,6.60萬
0,01232.HK,金輪天地控,-,-,-,-,-,-,-,-,-,-,-,29.00萬
0,01233.HK,時代中國控,2013/12/11,13.5,13.424,12.644,13.274,13.783,59.578,58.033,55.786,0.276,0.274,4.65百萬
0,01234.HK,中國利郎,2009/09/25,320.0,4.377,4.331,4.631,5.547,47.897,48.651,48.275,0.021,0.016,1.85百萬
0,01235.HK,專業旅運,2011/09/29,176.0,0.182,0.225,0.286,0.47,40.796,41.723,42.294,-0.006,-0.012,0.00
0,01237.HK,中科生物,2012/07/06,0.083,0.08,0.098,0.132,0.264,45.118,43.816,43.029,-0.003,-0.005,13.00萬
0,01238.HK,寶龍地產,2009/10/14,4.42,4.466,4.338,4.395,4.509,53.964,53.385,52.214,0.049,0.049,4.44百萬
0,01239.HK,TEAMW,2011/11/18,0.036,0.037,0.045,0.057,0.073,37.754,38.604,38.971,-0.001,-0.002,48.00萬
0,01240.HK,青建國際,2012/10/18,0.72,0.746,0.796,0.873,1.125,33.93,36.027,37.834,-0.015,-0.019,22.00萬
0,01241.HK,雙樺控股,2011/06/30,0.053,0.058,0.054,0.108,0.213,46.349,46.961,45.099,0.001,0.001,10.80萬
0,01243.HK,宏安地產,2016/04/12,0.146,0.241,0.787,0.85,0.894,10.132,13.07,17.163,-0.189,-0.205,2.22億
0,01245.HK,NIRAK,2015/04/08,0.28,0.263,0.286,0.357,0.465,55.311,52.971,49.961,0.009,0.001,60.80萬
0,01246.HK,保集健康,2013/10/16,30.0,0.032,0.034,0.045,0.072,38.498,40.393,40.944,-0.001,-0.001,8.08萬
0,01247.HK,米格國際控,-,-,-,-,-,-,-,-,-,-,-,67.80萬
0,01249.HK,通力電子,2013/08/14,6.97,6.683,6.101,6.318,5.978,68.866,66.015,63.26,0.147,0.178,15.77萬
0,01250.HK,北控清潔能,2013/07/05,0.043,0.039,0.033,0.042,0.071,67.12,64.847,61.164,0.003,0.003,8.14千萬
0,01251.HK,華油能源,2011/12/23,0.32,0.325,0.33,0.433,0.58,47.95,47.464,46.088,-0.002,-0.003,5.14百萬
0,01252.HK,中國天瑞水,2011/12/23,7.81,7.919,8.201,7.849,7.326,41.192,41.888,43.678,-0.092,-0.094,85.10萬
0,01253.HK,中國綠地博,2014/07/21,550.0,0.582,0.625,0.558,0.503,26.234,32.45,38.48,-0.018,-0.019,10.40萬
0,01255.HK,港大零售,2013/07/11,2.04,2.343,2.807,3.135,5.831,17.15,23.794,29.917,-0.185,-0.203,11.00萬
0,01257.HK,中國光大綠,2017/05/08,2.91,2.949,3.053,3.389,4.153,47.686,46.876,45.82,-0.013,-0.034,1.55千萬
0,01258.HK,中國有色礦,2012/06/29,1.67,1.543,1.565,1.694,1.722,61.817,58.301,54.955,0.035,0.013,12.10萬
0,01259.HK,未來發展控,-,-,-,-,-,-,-,-,-,-,-,12.10萬
0,01260.HK,皓天財經集,2012/03/30,0.7,0.685,0.597,0.618,0.837,57.069,57.056,56.506,0.012,0.02,4.00千
0,01262.HK,蠟筆小新食,-,-,-,-,-,-,-,-,-,-,-,16.00萬
0,01263.HK,柏能集團,2012/01/12,1.23,1.268,1.31,1.492,1.777,43.309,43.815,43.67,-0.012,-0.017,9.60萬
0,01265.HK,天津津燃公,2004/01/09,0.72,0.699,0.612,0.602,0.674,65.603,65.728,65.098,0.018,0.026,35.00萬
0,01266.HK,西王特鋼,2012/02/23,0.425,0.418,0.443,0.56,0.683,52.851,48.972,45.983,-0.003,-0.008,1.60百萬
0,01268.HK,美東汽車,2013/12/05,17.8,17.268,15.09,12.82,9.542,60.607,61.132,61.466,0.389,0.668,2.43百萬
0,01269.HK,首控集團,-,-,-,-,-,-,-,-,-,-,-,4.77千萬
0,01270.HK,朗廷－ＳＳ,2013/05/30,1.19,1.187,1.211,1.483,2.055,54.833,52.198,48.85,0.012,-0.003,1.10百萬
0,01271.HK,佳明集團控,2013/08/09,7.43,6.174,4.86,4.614,4.436,91.373,91.121,90.538,0.705,0.657,16.02萬
0,01272.HK,大唐環境,2016/11/15,0.0,0.992,1.353,1.887,2.717,49.223,45.395,42.265,-0.026,-0.092,0.00
0,01273.HK,香港信貸,2013/10/02,0.385,0.407,0.435,0.455,0.586,38.113,40.642,42.973,-0.015,-0.014,0.00
0,01275.HK,開元產業信,2013/07/10,990.0,0.986,1.003,1.215,1.535,49.744,48.083,45.866,-0.004,-0.011,2.90萬
0,01277.HK,力量能源,2012/03/23,0.32,0.316,0.335,0.356,0.39,49.049,46.501,44.905,-0.003,-0.006,7.20萬
0,01278.HK,中國新城鎮,2010/10/22,0.138,0.122,0.119,0.133,0.15,76.776,70.044,63.266,0.003,0.002,1.03百萬
0,01280.HK,奇點國際,2010/03/25,1.55,1.491,1.509,2.03,6.996,57.788,54.432,50.715,0.044,0.018,1.47萬
0,01281.HK,隆基泰和智,2012/01/12,0.25,0.268,0.268,0.293,0.455,40.42,43.42,45.017,-0.002,-0.002,63.70萬
0,01282.HK,寶新金融,2010/12/15,0.275,0.28,0.273,0.29,0.299,46.475,49.122,49.728,0.002,0.002,2.05千萬
0,01283.HK,高陞集團控,-,-,-,-,-,-,-,-,-,-,-,1.65百萬
0,01285.HK,嘉士利集團,2014/09/25,620.0,1.589,1.562,1.62,1.644,57.512,55.228,53.396,0.013,0.013,4.20萬
0,01286.HK,鷹普精密,-,-,-,-,-,-,-,-,-,-,-,23.00萬
0,01288.HK,農業銀行,-,-,-,-,-,-,-,-,-,-,-,1.13億
0,01289.HK,盛力達科技,2014/11/11,840.0,0.811,0.981,1.113,1.511,49.456,47.524,46.22,-0.043,-0.017,2.00千
0,01290.HK,中國匯融,2013/10/28,0.96,0.988,1.032,1.081,1.059,36.46,39.275,41.241,-0.013,-0.016,89.20萬
0,01292.HK,長安民生物,2006/02/23,790.0,1.757,2.051,2.073,2.772,45.439,43.86,43.429,-0.071,-0.033,5.00千
0,01293.HK,廣匯寶信,2011/12/14,1.24,1.116,0.973,1.086,1.457,71.534,70.045,66.725,0.088,0.078,1.46百萬
0,01296.HK,國電科環,2011/12/30,0.214,0.214,0.194,0.216,0.246,56.991,56.372,54.799,0.006,0.006,1.82百萬
0,01297.HK,中國擎天軟,2013/07/09,0.99,0.969,1.013,1.272,1.606,52.736,50.37,47.919,-0.002,-0.013,2.19百萬
0,01298.HK,雲能國際,2011/12/21,0.0,1.914,2.558,2.656,3.072,41.887,39.763,39.963,-0.125,-0.188,0.00
0,01299.HK,友邦保險,2010/10/29,70.65,71.595,69.597,72.292,76.687,52.974,52.776,51.83,0.754,0.714,2.54千萬
0,01300.HK,俊知集團,2012/03/19,1.2,1.17,1.277,1.523,1.474,52.193,48.995,46.389,-0.011,-0.03,2.01百萬
0,01301.HK,德基科技控,2015/05/27,1.23,1.21,1.221,1.283,1.337,60.711,55.948,52.223,0.002,-0.002,72.00萬
0,01302.HK,先健科技,2011/11/10,1.88,1.783,1.783,1.663,1.516,65.327,60.736,57.727,0.025,0.018,2.52千萬
0,01303.HK,匯力資源,2012/01/12,186.0,0.197,0.331,0.386,0.514,43.372,43.103,43.21,-0.029,-0.04,0.00
0,01305.HK,偉志控股,2014/11/18,0.395,0.397,0.444,0.58,0.854,45.03,43.566,42.338,-0.016,-0.021,2.10萬
0,01308.HK,海豐國際,2010/10/06,7.97,8.036,7.435,8.071,8.111,56.869,56.789,55.332,0.122,0.156,99.41萬
0,01310.HK,香港寬頻,2015/03/12,13.24,13.478,13.279,13.33,13.762,43.836,46.51,48.369,-0.056,-0.001,71.13萬
0,01312.HK,同方康泰,2012/01/18,0.072,0.068,0.097,0.123,0.174,43.259,39.156,37.444,-0.005,-0.008,1.42百萬
0,01313.HK,華潤水泥控,2009/10/06,9.66,9.681,9.89,9.599,8.803,46.903,47.161,47.999,-0.063,-0.072,4.53百萬
0,01314.HK,翠華控股,2012/11/26,0.325,0.328,0.335,0.361,0.453,47.18,46.858,46.454,-0.002,-0.003,1.84百萬
0,01315.HK,允升國際,2012/01/18,165.0,0.156,0.174,0.178,0.251,54.442,50.878,48.759,-0.001,-0.004,0.00
0,01316.HK,耐世特,2013/10/07,5.94,5.771,4.543,4.964,6.391,63.551,63.798,62.317,0.394,0.44,1.77千萬
0,01317.HK,楓葉教育,2014/11/28,2.16,2.104,2.194,2.452,2.604,57.196,52.816,49.419,0.001,-0.019,1.07千萬
0,01318.HK,格菱控股,2009/11/06,630.0,0.518,0.729,1.095,0.91,57.761,52.243,47.23,0.005,-0.035,0.00
0,01319.HK,靄華押業信,-,-,-,-,-,-,-,-,-,-,-,12.00萬
0,01321.HK,中國新城市,2014/07/10,0.97,0.991,1.065,1.076,0.989,31.147,32.546,35.136,-0.017,-0.023,3.80萬
0,01322.HK,創達科技控,2012/04/13,231.0,0.313,0.894,1.065,1.248,13.871,15.07,16.915,-0.152,-0.197,0.00
0,01323.HK,華盛國際控,2011/01/13,590.0,0.586,0.576,0.569,0.547,57.911,56.29,55.235,0.003,0.003,3.01千萬
0,01326.HK,傳遞娛樂,-,-,-,-,-,-,-,-,-,-,-,2.11百萬
0,01327.HK,勵時集團,2015/01/30,125.0,0.135,0.145,0.202,0.268,24.655,32.026,36.499,-0.007,-0.008,0.00
0,01328.HK,金涌投資,2007/10/16,68.0,0.068,0.087,0.102,0.127,42.582,42.455,42.633,-0.003,-0.005,9.00萬
0,01329.HK,首創鉅大,-,-,-,-,-,-,-,-,-,-,-,0.00
0,01330.HK,綠色動力環,2014/06/19,2.76,2.79,2.974,3.072,3.266,44.032,43.28,43.102,-0.041,-0.058,1.19百萬
0,01332.HK,中國透雲,2012/07/12,0.375,0.387,0.36,0.376,0.313,52.882,52.541,51.668,0.016,0.012,2.07百萬
0,01333.HK,中國忠旺,2009/05/08,1.56,1.548,1.72,2.176,2.853,46.259,43.672,41.289,-0.038,-0.065,7.80百萬
0,01335.HK,順泰控股,2012/07/13,100.0,0.096,0.131,0.176,0.199,47.32,45.975,45.243,-0.005,-0.009,0.00
